id,sinav_turu,yil,konu,alt_konu,soru_tipi,zorluk,soru_metin,secenek_A,secenek_B,secenek_C,secenek_D,secenek_E,dogru_cevap,kaynak_turu,gorsel_bagimli,text_input,stratify_col
525,LGS,2025,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Orta,"Görselde bir oyuncak araba 10 cm'lik bir cetvelin üzerine konulmuştur. Arabanın arkası 2 cm hizasında, önü ise 8 ile 9 cm arasındadır (yaklaşık 8.5 civarı). Buna göre oyuncak arabanın boyu santimetre cinsinden aşağıdakilerden hangisi olabilir?",4√2,2√10,5√3,7√2,,B,MEB,bagimli,"[SORU] Görselde bir oyuncak araba 10 cm'lik bir cetvelin üzerine konulmuştur. Arabanın arkası 2 cm hizasında, önü ise 8 ile 9 cm arasındadır (yaklaşık 8.5 civarı). Buna göre oyuncak arabanın boyu santimetre cinsinden aşağıdakilerden hangisi olabilir?
[A] 4√2
[B] 2√10
[C] 5√3
[D] 7√2
[GÖRSEL] Bu soru görsele bağlıdır.",Yaklaşık Değer_Yorum
251,LGS,2025,Kareköklü ifadeler,Rasyonelleştirme,Hesaplama,Orta,3/(√7 − 2√10) + 3/(√7 + 2√10) işlemi kaça eşittir?,√2,3√2,4,2√5,2√7,D,Kitap,yok,"[SORU] 3/(√7 − 2√10) + 3/(√7 + 2√10) işlemi kaça eşittir?
[A] √2
[B] 3√2
[C] 4
[D] 2√5
[E] 2√7",Rasyonelleştirme_Hesaplama
615,LGS,2021,Kareköklü İfadeler,Alan ve Geometri,Yorum,Orta,Karelere ayrılan dikdörtgen kağıdın başlangıçtaki alanı hangisi olamaz?,40,90,160,240,,D,MEB,bagimli,"[SORU] Karelere ayrılan dikdörtgen kağıdın başlangıçtaki alanı hangisi olamaz?
[A] 40
[B] 90
[C] 160
[D] 240
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Yorum
93,LGS,2025,Kareköklü İfadeler,Problem Çözme,Problem,Orta,Deniz kenarında duran Mert kendisinden 4 metre uzaktaki arkadaşı Selma'nın yanına kadar yüzecek sonra geri gelip deniz kenarından 2 metre uzaktaki şezlongunda yatacaktır. Mert denizde 2 saniyede √2 metre karada ise bir saniyede √2 metre ilerliyor. Buna göre en az kaç tam saniyede şezlongunda yatar olur?,11,12,13,14,15,C,Örnek,bagimli,"[SORU] Deniz kenarında duran Mert kendisinden 4 metre uzaktaki arkadaşı Selma'nın yanına kadar yüzecek sonra geri gelip deniz kenarından 2 metre uzaktaki şezlongunda yatacaktır. Mert denizde 2 saniyede √2 metre karada ise bir saniyede √2 metre ilerliyor. Buna göre en az kaç tam saniyede şezlongunda yatar olur?
[A] 11
[B] 12
[C] 13
[D] 14
[E] 15
[GÖRSEL] Bu soru görsele bağlıdır.",Problem Çözme_Problem
308,LGS,2024,Kareköklü İfadeler,Karşılaştırma ve Sıralama,Problem,Orta,"Ali, Ayşe ve Elif üç farklı dart tahtasına birer atış yapıyor ve yarışma puanı atış puanlarının çarpımıyla belirleniyor. Elif birinci, Ali ikinci, Ayşe üçüncü olduğuna göre tabloda boş bırakılan yerlere hangisi gelemez?","√3,1,2","2√3,2√7,4√2","2,√3,√5","3,√5,√10",-,A,Deneme,bagimli,"[SORU] Ali, Ayşe ve Elif üç farklı dart tahtasına birer atış yapıyor ve yarışma puanı atış puanlarının çarpımıyla belirleniyor. Elif birinci, Ali ikinci, Ayşe üçüncü olduğuna göre tabloda boş bırakılan yerlere hangisi gelemez?
[A] √3,1,2
[B] 2√3,2√7,4√2
[C] 2,√3,√5
[D] 3,√5,√10
[E] -
[GÖRSEL] Bu soru görsele bağlıdır.",Karşılaştırma ve Sıralama_Problem
439,LGS,2025,Kareköklü İfadeler,Denklemler,Hesaplama,Orta,"(3√5 · () · √3) / √125 işleminin sonucu 9’a eşit olduğuna göre, () aşağıdakilerden hangisidir?",5√5,5√3,3√5,√3,,B,MEB,yok,"[SORU] (3√5 · () · √3) / √125 işleminin sonucu 9’a eşit olduğuna göre, () aşağıdakilerden hangisidir?
[A] 5√5
[B] 5√3
[C] 3√5
[D] √3",Denklemler_Hesaplama
495,LGS,2025,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Kolay,√72 + √81 − √162 işleminin sonucu kaçtır?,6,6√2,6√2 − 9,9 − 3√2,,D,MEB,yok,"[SORU] √72 + √81 − √162 işleminin sonucu kaçtır?
[A] 6
[B] 6√2
[C] 6√2 − 9
[D] 9 − 3√2",İşlem ve Sadeleştirme_Hesaplama
239,LGS,2025,Kareköklü ifadeler,Yaklaşık Değer,Problem,Zor,"M iki basamaklı, N üç basamaklı birer doğal sayıdır. √M + √N = √605 olduğuna göre M + N toplamı en az kaç olabilir?",275,325,365,425,455,B,Kitap,yok,"[SORU] M iki basamaklı, N üç basamaklı birer doğal sayıdır. √M + √N = √605 olduğuna göre M + N toplamı en az kaç olabilir?
[A] 275
[B] 325
[C] 365
[D] 425
[E] 455",Yaklaşık Değer_Problem
594,LGS,2025,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Orta,Oyuncular forma numaralarının karekökünün en yakın olduğu tam sayı kadar basket atıyor. Alp ile aynı sayıda basket atan başka oyuncu yoktur. Alp’in forma numarası kaçtır?,12,20,40,53,,C,MEB,bagimli,"[SORU] Oyuncular forma numaralarının karekökünün en yakın olduğu tam sayı kadar basket atıyor. Alp ile aynı sayıda basket atan başka oyuncu yoktur. Alp’in forma numarası kaçtır?
[A] 12
[B] 20
[C] 40
[D] 53
[GÖRSEL] Bu soru görsele bağlıdır.",Yaklaşık Değer_Yorum
443,LGS,2025,Kareköklü İfadeler,Tam Sayı / Özel Tanımlar,Hesaplama,Kolay,"81, 75, 121, 256, 16, 64, 36, 42, 24 sayılarından tanesi tam kare doğal sayı değildir?",6,5,4,3,,D,MEB,yok,"[SORU] 81, 75, 121, 256, 16, 64, 36, 42, 24 sayılarından tanesi tam kare doğal sayı değildir?
[A] 6
[B] 5
[C] 4
[D] 3",Tam Sayı / Özel Tanımlar_Hesaplama
433,LGS,2025,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Kolay,(2√8 · √18) / √36 işleminin sonucu kaçtır?,1,√2,4,4√2,,C,MEB,yok,"[SORU] (2√8 · √18) / √36 işleminin sonucu kaçtır?
[A] 1
[B] √2
[C] 4
[D] 4√2",İşlem ve Sadeleştirme_Hesaplama
386,LGS,2020,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Orta,"1/√0,36 − 1/√0,09 işleminin sonucu kaçtır?",-5/3,-5/4,-5/6,-5/9,,D,Kitap,yok,"[SORU] 1/√0,36 − 1/√0,09 işleminin sonucu kaçtır?
[A] -5/3
[B] -5/4
[C] -5/6
[D] -5/9",İşlem ve Sadeleştirme_Hesaplama
71,LGS,2020,Kareköklü İfadeler,Tam Sayı / Özel Tanımlar,Yorum,Zor,√(M − 1) ve √(M + 20) sayıları birer tam sayıdır. Buna göre M sayısının alabileceği değerler toplamı kaçtır?,48,71,88,94,106,B,Örnek,yok,"[SORU] √(M − 1) ve √(M + 20) sayıları birer tam sayıdır. Buna göre M sayısının alabileceği değerler toplamı kaçtır?
[A] 48
[B] 71
[C] 88
[D] 94
[E] 106",Tam Sayı / Özel Tanımlar_Yorum
98,LGS,2022,Kareköklü İfadeler,Yaklaşık Değer,Problem,Orta,"Basketbolcular forma numaralarının karekökünün en yakın olduğu tam sayı kadar basket atıyorlar. (Forma No: 53, 12, 40, 29, 20, 8, 45, 24, 15, 10). Alp ile aynı sayıda basket atan başka oyuncu olmadığına göre Alp'in forma numarası kaçtır?",12,20,40,53,60,C,MEB,destekleyici,"[SORU] Basketbolcular forma numaralarının karekökünün en yakın olduğu tam sayı kadar basket atıyorlar. (Forma No: 53, 12, 40, 29, 20, 8, 45, 24, 15, 10). Alp ile aynı sayıda basket atan başka oyuncu olmadığına göre Alp'in forma numarası kaçtır?
[A] 12
[B] 20
[C] 40
[D] 53
[E] 60",Yaklaşık Değer_Problem
302,LGS,2024,Kareköklü İfadeler,Alan ve Geometri,Problem,Orta,Alanları verilen dört kare yan yana eklenerek bir doğru parçası elde ediliyor. Bu doğru parçasının uzunluğu olan a sayısı hangi iki doğal sayı arasındadır?,10-11,12-13,15-16,17-18,-,C,Deneme,bagimli,"[SORU] Alanları verilen dört kare yan yana eklenerek bir doğru parçası elde ediliyor. Bu doğru parçasının uzunluğu olan a sayısı hangi iki doğal sayı arasındadır?
[A] 10-11
[B] 12-13
[C] 15-16
[D] 17-18
[E] -
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
127,LGS,2022,Kareköklü İfadeler,Alan ve Geometri,Problem,Zor,"Sarı karton alanı 5 dm², Mavi 7 dm². Dikdörtgen levha etrafına diziliyor. Levha çevresi kaç dm?",54,52,50,48,46,B,MEB,bagimli,"[SORU] Sarı karton alanı 5 dm², Mavi 7 dm². Dikdörtgen levha etrafına diziliyor. Levha çevresi kaç dm?
[A] 54
[B] 52
[C] 50
[D] 48
[E] 46
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
114,LGS,2022,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Kolay,"20 cm'lik cetvelde kalemtıraşın bir ucu 18.5 civarında, diğer ucu 15.5 civarında (uzunluk yaklaşık 2.8 - 2.9 cm). Kalemtıraşın uzunluğu hangisi olabilir?",3√2,2√3,2√2,√6,√10,C,MEB,destekleyici,"[SORU] 20 cm'lik cetvelde kalemtıraşın bir ucu 18.5 civarında, diğer ucu 15.5 civarında (uzunluk yaklaşık 2.8 - 2.9 cm). Kalemtıraşın uzunluğu hangisi olabilir?
[A] 3√2
[B] 2√3
[C] 2√2
[D] √6
[E] √10",Yaklaşık Değer_Yorum
323,LGS,2024,Kareköklü Sayılar,Tam Sayı / Özel Tanımlar,Yorum,Orta,"Doğum tarihi 12.09.2004 olan bir öğrenci √12, √09, √04 ve √2,94 sayılarının rasyonel veya irrasyonel olmasına göre bir şifre oluşturuyor. Buna göre oluşan şifre aşağıdakilerden hangisidir?",Q I I I,I Q I I,I I Q Q,I Q Q I,,A,Deneme,yok,"[SORU] Doğum tarihi 12.09.2004 olan bir öğrenci √12, √09, √04 ve √2,94 sayılarının rasyonel veya irrasyonel olmasına göre bir şifre oluşturuyor. Buna göre oluşan şifre aşağıdakilerden hangisidir?
[A] Q I I I
[B] I Q I I
[C] I I Q Q
[D] I Q Q I",Tam Sayı / Özel Tanımlar_Yorum
407,LGS,2025,Kareköklü İfadeler,Karşılaştırma ve Sıralama,Yorum,Orta,Aşağıdakilerden hangisindeki sayıların çarpımının sonucu diğerlerinden büyüktür?,3√2 ve √2,2√3 ve √3,2√6 ve 2√6,√5 ve 3√5,,C,MEB,yok,"[SORU] Aşağıdakilerden hangisindeki sayıların çarpımının sonucu diğerlerinden büyüktür?
[A] 3√2 ve √2
[B] 2√3 ve √3
[C] 2√6 ve 2√6
[D] √5 ve 3√5",Karşılaştırma ve Sıralama_Yorum
670,LGS,2019,Kareköklü İfadeler,Alan ve Geometri,Yorum,Orta,"Selim, bir yüzünün alanı 150 cm² olan küp şeklindeki bir oyuncağı hediye kutusuna koymuştur. Bu oyuncak, aşağıda ayrıt uzunlukları verilen dik prizma şeklindeki hediye kutularından hangisinin içinde olabilir?",A,B,C,D,,A,MEB,destekleyici,"[SORU] Selim, bir yüzünün alanı 150 cm² olan küp şeklindeki bir oyuncağı hediye kutusuna koymuştur. Bu oyuncak, aşağıda ayrıt uzunlukları verilen dik prizma şeklindeki hediye kutularından hangisinin içinde olabilir?
[A] A
[B] B
[C] C
[D] D",Alan ve Geometri_Yorum
168,LGS,2025,Kareköklü İfadeler,Üslü ve Köklü İfadeler,Hesaplama,Kolay,√(18 . √(1 + √9)) işlemi kaça eşittir?,-1,0,1,6,7,D,Kitap,yok,"[SORU] √(18 . √(1 + √9)) işlemi kaça eşittir?
[A] -1
[B] 0
[C] 1
[D] 6
[E] 7",Üslü ve Köklü İfadeler_Hesaplama
90,LGS,2020,Kareköklü İfadeler,Tam Sayı / Özel Tanımlar,Yorum,Zor,a ve b tam sayılar olmak üzere √x = a√b için √x sayısının alabileceği değerler toplamı ile √x = b√a sayısının alabileceği değerler toplamının oranı √72/√72 oranı kaça eşittir?,"0,06","0,12",1/18,11/28,"0,3",B,Deneme,yok,"[SORU] a ve b tam sayılar olmak üzere √x = a√b için √x sayısının alabileceği değerler toplamı ile √x = b√a sayısının alabileceği değerler toplamının oranı √72/√72 oranı kaça eşittir?
[A] 0,06
[B] 0,12
[C] 1/18
[D] 11/28
[E] 0,3",Tam Sayı / Özel Tanımlar_Yorum
383,LGS,2020,Kareköklü İfadeler,Denklemler,Hesaplama,Kolay,"x + √3,61 = 0,01 olduğuna göre x kaçtır?","-1,8","-0,6","0,6","1,8",,A,Kitap,yok,"[SORU] x + √3,61 = 0,01 olduğuna göre x kaçtır?
[A] -1,8
[B] -0,6
[C] 0,6
[D] 1,8",Denklemler_Hesaplama
546,LGS,2025,Kareköklü İfadeler,Alan ve Geometri,Problem,Zor,Alanı 224√5 cm² olan panoya kısa kenarı 2 cm olan renkli dikdörtgenler diziliyor. Sarı dikdörtgenin uzun kenarı kaç cm'dir?,6√5,7√5,8√5,9√5,,C,MEB,bagimli,"[SORU] Alanı 224√5 cm² olan panoya kısa kenarı 2 cm olan renkli dikdörtgenler diziliyor. Sarı dikdörtgenin uzun kenarı kaç cm'dir?
[A] 6√5
[B] 7√5
[C] 8√5
[D] 9√5
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
611,LGS,2023,Kareköklü İfadeler,Alan ve Geometri,Yorum,Orta,Aynı ipe dizilen eşkenar üçgen bayraklardan mavi olanın bir kenarı kaç cm'dir?,2√2,8√2/3,4√2,16√2/3,,D,MEB,bagimli,"[SORU] Aynı ipe dizilen eşkenar üçgen bayraklardan mavi olanın bir kenarı kaç cm'dir?
[A] 2√2
[B] 8√2/3
[C] 4√2
[D] 16√2/3
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Yorum
377,LGS,2020,Kareköklü İfadeler,İşlem ve Sadeleştirme,Hesaplama,Orta,√(128/9) + √98 − √50 işleminin sonucu aşağıdakilerden hangisidir?,4√2,12√2,14√2/3,20√2/3,,A,Kitap,yok,"[SORU] √(128/9) + √98 − √50 işleminin sonucu aşağıdakilerden hangisidir?
[A] 4√2
[B] 12√2
[C] 14√2/3
[D] 20√2/3",İşlem ve Sadeleştirme_Hesaplama
190,LGS,2021,Kareköklü İfadeler,Alan ve Geometri,Problem,Zor,"Eşkenar üçgen şeklindeki beş karton, dikdörtgen şeklindeki panonun ön yüzüne, birer kenarları ve birer köşeleri çakıştırılarak panonun yüzünde taşmayacak biçimde yukarıdaki gibi yerleştirilmiştir. Birer kenarları aynı doğru parçası üzerinde ve birer köşeleri ortak olan eşkenar üçgenlerin benzerlik oranı 1/2’dir. Bu üçgenlerden birinin çevresinin uzunluğu 96 cm olduğuna göre panonun ön yüzünün alanı en az kaç santimetrekaredir?",672√3,832√3,908√3,992√3,-,A,MEB,bagimli,"[SORU] Eşkenar üçgen şeklindeki beş karton, dikdörtgen şeklindeki panonun ön yüzüne, birer kenarları ve birer köşeleri çakıştırılarak panonun yüzünde taşmayacak biçimde yukarıdaki gibi yerleştirilmiştir. Birer kenarları aynı doğru parçası üzerinde ve birer köşeleri ortak olan eşkenar üçgenlerin benzerlik oranı 1/2’dir. Bu üçgenlerden birinin çevresinin uzunluğu 96 cm olduğuna göre panonun ön yüzünün alanı en az kaç santimetrekaredir?
[A] 672√3
[B] 832√3
[C] 908√3
[D] 992√3
[E] -
[GÖRSEL] Bu soru görsele bağlıdır.",Alan ve Geometri_Problem
625,LGS,2019,Kareköklü İfadeler,Problem Çözme,Yorum,Zor,Bir vincin havada tuttuğu inşaat malzemesinin yerden yüksekliği √125 m ve malzemenin vincin koluna uzaklığı √45 m’dir. Malzeme √5 m yukarı çekildiğinde son durumda yükseklik farkı kaç metredir?,2√5,3√5,4√5,5√5,,C,MEB,bagimli,"[SORU] Bir vincin havada tuttuğu inşaat malzemesinin yerden yüksekliği √125 m ve malzemenin vincin koluna uzaklığı √45 m’dir. Malzeme √5 m yukarı çekildiğinde son durumda yükseklik farkı kaç metredir?
[A] 2√5
[B] 3√5
[C] 4√5
[D] 5√5
[GÖRSEL] Bu soru görsele bağlıdır.",Problem Çözme_Yorum
474,LGS,2025,Kareköklü İfadeler,Yaklaşık Değer,Yorum,Kolay,√50 sayısı aşağıdakilerden hangisine daha yakındır?,7,8,9,10,,D,MEB,yok,"[SORU] √50 sayısı aşağıdakilerden hangisine daha yakındır?
[A] 7
[B] 8
[C] 9
[D] 10",Yaklaşık Değer_Yorum
581,LGS,2025,Kareköklü İfadeler,Problem Çözme,Problem,Orta,"Derece kürsüsü. Kare yüzey alanları 980, 720, 405 cm². 1. ve 3. boy farkı, 1. ve 2. boy farkının kaç katıdır?",2,"2,5",3,"3,5",,B,MEB,bagimli,"[SORU] Derece kürsüsü. Kare yüzey alanları 980, 720, 405 cm². 1. ve 3. boy farkı, 1. ve 2. boy farkının kaç katıdır?
[A] 2
[B] 2,5
[C] 3
[D] 3,5
[GÖRSEL] Bu soru görsele bağlıdır.",Problem Çözme_Problem
231,LGS,2025,Kareköklü ifadeler,Üslü ve Köklü İfadeler,Hesaplama,Kolay,Aşağıdakilerden hangisi veya hangileri doğrudur? I) √(9 - 2√14) = √7 - √2 II) √(7 + √40) = √5 + √2 III) √(2·(4 + √15)) = √5 + √3,I,II,"I, III","II, III",Hepsi,E,Kitap,yok,"[SORU] Aşağıdakilerden hangisi veya hangileri doğrudur? I) √(9 - 2√14) = √7 - √2 II) √(7 + √40) = √5 + √2 III) √(2·(4 + √15)) = √5 + √3
[A] I
[B] II
[C] I, III
[D] II, III
[E] Hepsi",Üslü ve Köklü İfadeler_Hesaplama
162,LGS,2025,Kareköklü İfadeler,Üslü ve Köklü İfadeler,Yorum,Kolay,"Aşağıdakilerden hangisi veya hangileri doğrudur? I) √3 = 3^(1/2), II) ³√(5^2) = 5^(2/3), III) ⁴√7 = 7^4",I,II,I ve II,II ve III,III,C,Kitap,yok,"[SORU] Aşağıdakilerden hangisi veya hangileri doğrudur? I) √3 = 3^(1/2), II) ³√(5^2) = 5^(2/3), III) ⁴√7 = 7^4
[A] I
[B] II
[C] I ve II
[D] II ve III
[E] III",Üslü ve Köklü İfadeler_Yorum
401,LGS,2020,Kareköklü İfadeler,Tam Sayı / Özel Tanımlar,Yorum,Orta,"√25/2, −√121, −π, 2,95, 3√3, √8, −0,07 sayılarından kaç tanesi rasyonel sayıdır?",1,2,3,4,,D,Kitap,yok,"[SORU] √25/2, −√121, −π, 2,95, 3√3, √8, −0,07 sayılarından kaç tanesi rasyonel sayıdır?
[A] 1
[B] 2
[C] 3
[D] 4",Tam Sayı / Özel Tanımlar_Yorum
567,LGS,2025,Kareköklü İfadeler,Karşılaştırma ve Sıralama,Yorum,Kolay,"pH cetveli görseli. Bulaşık deterjanı 5√2, Portakal suyu 2√2, Çay 3√3, Süt √35. pH 7'den küçükler asidik. Kaç tanesi asidik?",1,2,3,4,,C,MEB,destekleyici,"[SORU] pH cetveli görseli. Bulaşık deterjanı 5√2, Portakal suyu 2√2, Çay 3√3, Süt √35. pH 7'den küçükler asidik. Kaç tanesi asidik?
[A] 1
[B] 2
[C] 3
[D] 4",Karşılaştırma ve Sıralama_Yorum
99,LGS,2022,Kareköklü İfadeler,Problem Çözme,Hesaplama,Zor,"Doruk, ayrıtları √20 cm, √20 cm ve 0,2 cm olan prizma biçimindeki 15 taşı aralarında eşit mesafe olacak şekilde dizmiştir. İlk taş devrildiğinde son taş hariç hepsi sırasıyla devriliyor. Ardışık taşlar arasındaki uzaklık bir tam sayı olduğuna göre A ile B noktaları arasındaki uzaklık en fazla kaç cm olur?",57,59,61,63,65,B,MEB,bagimli,"[SORU] Doruk, ayrıtları √20 cm, √20 cm ve 0,2 cm olan prizma biçimindeki 15 taşı aralarında eşit mesafe olacak şekilde dizmiştir. İlk taş devrildiğinde son taş hariç hepsi sırasıyla devriliyor. Ardışık taşlar arasındaki uzaklık bir tam sayı olduğuna göre A ile B noktaları arasındaki uzaklık en fazla kaç cm olur?
[A] 57
[B] 59
[C] 61
[D] 63
[E] 65
[GÖRSEL] Bu soru görsele bağlıdır.",Problem Çözme_Hesaplama
140,LGS,2025,Kareköklü İfadeler,Tam Sayı / Özel Tanımlar,Yorum,Kolay,"Aşağıdakilerden hangisi veya hangileri doğrudur? I) √4=8, II) ³√8=2, III) ⁴√16=2",I,II,I ve II,II ve III,"I, II ve III",D,Kitap,yok,"[SORU] Aşağıdakilerden hangisi veya hangileri doğrudur? I) √4=8, II) ³√8=2, III) ⁴√16=2
[A] I
[B] II
[C] I ve II
[D] II ve III
[E] I, II ve III",Tam Sayı / Özel Tanımlar_Yorum
573,LGS,2025,Kareköklü İfadeler,Karşılaştırma ve Sıralama,Yorum,Kolay,Duatlon yarışında 4 sporcunun köklü sayılarla verilen etap sürelerine göre toplam süresi en az olan sporcu kimdir?,Harun,Erdem,Mustafa,Bülent,,A,MEB,destekleyici,"[SORU] Duatlon yarışında 4 sporcunun köklü sayılarla verilen etap sürelerine göre toplam süresi en az olan sporcu kimdir?
[A] Harun
[B] Erdem
[C] Mustafa
[D] Bülent",Karşılaştırma ve Sıralama_Yorum
